language,title,origin_url,origin_domain,origin_candidate,origin_mapping_note,manifest_path,code_path,program_folder,code_sha256_manifest,code_sha1,code_sha1_git,content_swhid_builtin,content_swhid_candidate,content_swhid_found,content_swhid_source,content_swhid_note,content_state,content_http_status,content_error,origin_state,origin_http_status,origin_error,visit_state,visit_http_status,visit_error,snapshot_swhid,coverage_bucket,added_at
*Lisp,Parallel Sum,https://en.wikipedia.org/wiki/Connection_Machine,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/*Lisp/programs/849c10e69265d76ac41918c2fbd57c793fd7155342701ff46368a696351ce890/manifest.json,languages/*Lisp/programs/849c10e69265d76ac41918c2fbd57c793fd7155342701ff46368a696351ce890/code.lisp,languages/*Lisp/programs/849c10e69265d76ac41918c2fbd57c793fd7155342701ff46368a696351ce890,849c10e69265d76ac41918c2fbd57c793fd7155342701ff46368a696351ce890,9436cc9be366a948997b6a3f4739beed1a96a2e4,623fdff44969501ade98fe53c34b1058b4b39fff,swh:1:cnt:623fdff44969501ade98fe53c34b1058b4b39fff,swh:1:cnt:623fdff44969501ade98fe53c34b1058b4b39fff,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-12T09:16:17Z
05AB1E,Hello World,https://github.com/Adriandmen/05AB1E/wiki/Hello-World%21,github.com,https://github.com/Adriandmen/05AB1E,heuristic: mapped GitHub URL to repository root,languages/05AB1E/programs/cc82ebbcf8b60a5821d1c51c72cd79380ecea47de343ccb3b158938a2b3bf764/manifest.json,languages/05AB1E/programs/cc82ebbcf8b60a5821d1c51c72cd79380ecea47de343ccb3b158938a2b3bf764/code.abe,languages/05AB1E/programs/cc82ebbcf8b60a5821d1c51c72cd79380ecea47de343ccb3b158938a2b3bf764,cc82ebbcf8b60a5821d1c51c72cd79380ecea47de343ccb3b158938a2b3bf764,d46c9088e81ce62320243e88b45710e3f3d82d80,b0d555865b7c957689e95543544c8fc8d1a2d657,swh:1:cnt:b0d555865b7c957689e95543544c8fc8d1a2d657,swh:1:cnt:b0d555865b7c957689e95543544c8fc8d1a2d657,swh:1:cnt:b0d555865b7c957689e95543544c8fc8d1a2d657,builtin,,found,200,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,,content_only,2026-02-10T14:19:14.779213Z
11l,Fibonacci Sequence,https://rosettacode.org/wiki/Fibonacci_sequence#11l,rosettacode.org,,non-VCS URL skipped under --origin-scope=vcs,languages/11l/programs/ac464220f9e6280f4a2215a5816e1492a60b5f8f30bd82cff545b58f095a529c/manifest.json,languages/11l/programs/ac464220f9e6280f4a2215a5816e1492a60b5f8f30bd82cff545b58f095a529c/code.11l,languages/11l/programs/ac464220f9e6280f4a2215a5816e1492a60b5f8f30bd82cff545b58f095a529c,ac464220f9e6280f4a2215a5816e1492a60b5f8f30bd82cff545b58f095a529c,55602da29b9590f6a0da6ae0c1130249fa47e82e,e7279109817393c81a59873cd8c22eeb6189d5ab,swh:1:cnt:e7279109817393c81a59873cd8c22eeb6189d5ab,swh:1:cnt:e7279109817393c81a59873cd8c22eeb6189d5ab,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-09T20:14:44Z
1C:Enterprise,Hello World,https://github.com/1C-Company/1c-syntax,github.com,https://github.com/1C-Company/1c-syntax,direct origin lookup,languages/1C:Enterprise/programs/249c5be89a5bf6290cbf2ed6029b38218ab41d196a7fa1783d281e23884523f2/manifest.json,languages/1C:Enterprise/programs/249c5be89a5bf6290cbf2ed6029b38218ab41d196a7fa1783d281e23884523f2/code.bsl,languages/1C:Enterprise/programs/249c5be89a5bf6290cbf2ed6029b38218ab41d196a7fa1783d281e23884523f2,249c5be89a5bf6290cbf2ed6029b38218ab41d196a7fa1783d281e23884523f2,13a8a66a1bcd1dcc3520c317d900796b3a6c6346,f82664e1967b85ad22d388ec3bfa5e46b139c06e,swh:1:cnt:f82664e1967b85ad22d388ec3bfa5e46b139c06e,swh:1:cnt:f82664e1967b85ad22d388ec3bfa5e46b139c06e,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,,unknown,2026-02-11T12:00:00Z
2APL,Simple Agent with Beliefs and Goals,https://web.archive.org/web/20150906071959/http://apapl.sourceforge.net/2apl.php,web.archive.org,,non-VCS URL skipped under --origin-scope=vcs,languages/2APL/programs/2393eed6fdd99886/manifest.json,languages/2APL/programs/2393eed6fdd99886/code.2apl,languages/2APL/programs/2393eed6fdd99886,2393eed6fdd99886652ec80db7d7fa5ef39a557a16c30bdbc2f3c39bc37aac51,b1eeed23fda5c0d47bee7c1b072ac0b780ee9068,7c59d82fa6dbe08d21c43ecf887b8a8e6f7f08f3,swh:1:cnt:7c59d82fa6dbe08d21c43ecf887b8a8e6f7f08f3,swh:1:cnt:7c59d82fa6dbe08d21c43ecf887b8a8e6f7f08f3,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-16T14:30:00Z
4D,Fibonacci Sequence,https://doc.4d.com/4Dv20/4D/20/Control-flow.300-6263498.en.html,doc.4d.com,,non-VCS URL skipped under --origin-scope=vcs,languages/4D/programs/c523f62690a2de8a1857a70694fbef952033675cdbbfa3f46b5439c163ac4684/manifest.json,languages/4D/programs/c523f62690a2de8a1857a70694fbef952033675cdbbfa3f46b5439c163ac4684/code.4dm,languages/4D/programs/c523f62690a2de8a1857a70694fbef952033675cdbbfa3f46b5439c163ac4684,c523f62690a2de8a1857a70694fbef952033675cdbbfa3f46b5439c163ac4684,48593df952129f600c7b448f927e00da26901059,a35186bfaa411d3f7085608951d243dd6e418dba,swh:1:cnt:a35186bfaa411d3f7085608951d243dd6e418dba,swh:1:cnt:a35186bfaa411d3f7085608951d243dd6e418dba,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-08T21:21:59Z
4Test,Hello Test Example,https://documentation.microfocus.com/silk-test/200/en/silktestworkbench-help-en/GUID-0B0E3E5E-8F1D-4A6A-9B3F-7E5B8C5D6E4F.html,documentation.microfocus.com,,non-VCS URL skipped under --origin-scope=vcs,languages/4Test/programs/e7955b631c790b929808f82d31d204a3538be94328fc94fbc3f78982db561f34/manifest.json,languages/4Test/programs/e7955b631c790b929808f82d31d204a3538be94328fc94fbc3f78982db561f34/code.t,languages/4Test/programs/e7955b631c790b929808f82d31d204a3538be94328fc94fbc3f78982db561f34,e7955b631c790b929808f82d31d204a3538be94328fc94fbc3f78982db561f34,30499b06c83f8a6d95a6c8c2b810d6a1bfc106cf,04a6236cc4575ae8595d385592c0c445595c508f,swh:1:cnt:04a6236cc4575ae8595d385592c0c445595c508f,swh:1:cnt:04a6236cc4575ae8595d385592c0c445595c508f,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-10T12:07:30.966185+00:00
6502 Assembly,Add Two Numbers,https://en.wikipedia.org/wiki/MOS_Technology_6502,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/6502 Assembly/programs/945e334b04b4ae937b1634b47e1f7ebcb4a008032186387ab6a026c28a27df9d/manifest.json,languages/6502 Assembly/programs/945e334b04b4ae937b1634b47e1f7ebcb4a008032186387ab6a026c28a27df9d/code.asm,languages/6502 Assembly/programs/945e334b04b4ae937b1634b47e1f7ebcb4a008032186387ab6a026c28a27df9d,945e334b04b4ae937b1634b47e1f7ebcb4a008032186387ab6a026c28a27df9d,6c32e606ef21d0965155564b9b8ca40be982eacb,1ce0714df6cc0a91eb22366618f48fbf16a33062,swh:1:cnt:1ce0714df6cc0a91eb22366618f48fbf16a33062,swh:1:cnt:1ce0714df6cc0a91eb22366618f48fbf16a33062,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-10T11:24:26.188759Z
65816 Assembly,16-bit Addition,https://en.wikibooks.org/wiki/65xx_Assembly/Instruction_Set,en.wikibooks.org,,non-VCS URL skipped under --origin-scope=vcs,languages/65816 Assembly/programs/eb585045a7af3604c0f4c602e436a7db6d9b5e1c0b7a74c6945a2f9e19fef5b2/manifest.json,languages/65816 Assembly/programs/eb585045a7af3604c0f4c602e436a7db6d9b5e1c0b7a74c6945a2f9e19fef5b2/code.asm,languages/65816 Assembly/programs/eb585045a7af3604c0f4c602e436a7db6d9b5e1c0b7a74c6945a2f9e19fef5b2,eb585045a7af3604c0f4c602e436a7db6d9b5e1c0b7a74c6945a2f9e19fef5b2,d541c0f4bf7bd4134c19085abfe7f48318231303,570ad8c036c1a55de5436b1facfac0d1ed611c98,swh:1:cnt:570ad8c036c1a55de5436b1facfac0d1ed611c98,swh:1:cnt:570ad8c036c1a55de5436b1facfac0d1ed611c98,,builtin,,error,429,http_error: HTTP Error 429: Too Many Requests,not_applicable,,,not_applicable,,,,unknown,2026-02-13T10:35:48Z
6800 Assembly,Hello World,https://en.wikipedia.org/wiki/Motorola_6800,en.wikipedia.org,,non-VCS URL skipped under --origin-scope=vcs,languages/6800 Assembly/programs/8676287b86897fb6ad8c52252911d533aac6b2aa28666ae65789d296cacbcfdc/manifest.json,languages/6800 Assembly/programs/8676287b86897fb6ad8c52252911d533aac6b2aa28666ae65789d296cacbcfdc/code.asm,languages/6800 Assembly/programs/8676287b86897fb6ad8c52252911d533aac6b2aa28666ae65789d296cacbcfdc,8676287b86897fb6ad8c52252911d533aac6b2aa28666ae65789d296cacbcfdc,f639c7b38978377f20b61b1ffc137c40035e32e6,1c15aa3ef85c6d5a32c01daa9ec4938f3535d937,swh:1:cnt:1c15aa3ef85c6d5a32c01daa9ec4938f3535d937,swh:1:cnt:1c15aa3ef85c6d5a32c01daa9ec4938f3535d937,,builtin,,missing,404,,not_applicable,,,not_applicable,,,,not_covered,2026-02-11T11:41:08Z
