pl_name,matched,match_kind,master_lang_id,master_name,source_flags,extensions,in_pldb,in_linguist,in_wikipedia,in_esolang,in_hyperpolyglot,in_pygments,in_rosettacode,fuzzy_candidates
*Lisp,True,normalized_canonical,lisp,lisp,esolang;pldb,,True,False,False,True,False,True,False,
///,True,exact_canonical,id-c64b8480,///,esolang,,False,False,False,True,False,False,False,
05AB1E,True,exact_canonical,05ab1e,05ab1e,esolang;pldb,,True,False,False,True,False,False,False,
11l,False,,,,,,False,False,False,False,False,False,False,
1C:Enterprise,True,normalized_tool,1c-enterprise,1c-enterprise,linguist;pldb,.bsl .os,True,True,False,False,True,False,False,
2APL,False,,,,,,False,False,False,False,False,False,False,
3APL,True,exact_canonical,3apl,3apl,pldb,,True,False,False,False,False,False,False,
4D,True,exact_canonical,4d,4D,linguist,.4dm,False,True,False,False,True,False,True,
4Test,False,,,,,,False,False,False,False,False,False,False,
4tH,False,,,,,,False,False,False,False,False,False,False,
6502 Assembly,False,,,,,,False,False,False,False,False,False,False,
65816 Assembly,False,,,,,,False,False,False,False,False,False,False,
6800 Assembly,False,,,,,,False,False,False,False,False,False,False,
6809 Assembly,False,,,,,,False,False,False,False,False,False,False,
8008 Assembly,False,,,,,,False,False,False,False,False,False,False,
8051 Assembly,False,,,,,,False,False,False,False,False,False,False,
8080 Assembly,False,,,,,,False,False,False,False,False,False,False,
8085 Assembly,False,,,,,,False,False,False,False,False,False,False,
8086 Assembly,False,,,,,,False,False,False,False,False,False,False,
8th,True,exact_canonical,8th,8th,pldb,,True,False,False,False,False,False,True,
A#,False,,,,,,False,False,False,False,False,False,False,
A+,False,,,,,,False,False,False,False,False,False,False,
A-0 System,False,,,,,,False,False,False,False,False,False,False,
A-2,False,,,,,,False,False,False,False,False,False,False,
A-3,False,,,,,,False,False,False,False,False,False,False,
A-Shell,False,,,,,,False,False,False,False,False,False,False,
AADL,True,exact_canonical,aadl,aadl,pldb,,True,False,False,False,False,False,False,
Aardappel,True,exact_canonical,aardappel,aardappel,pldb,,True,False,False,False,False,False,False,
ABAP,True,exact_canonical,abap,abap,linguist;pldb;wikipedia,.abap,True,True,True,False,True,True,True,
ABC,True,exact_canonical,abc,abc,esolang;pldb,,True,False,False,True,False,False,True,
ABC ALGOL,False,,,,,,False,False,False,False,False,False,False,
ABCL,True,exact_canonical,abcl,abcl,pldb,,True,False,False,False,False,False,False,
ABEL,True,exact_canonical,abel,abel,pldb,,True,False,False,False,False,False,False,
Abella,False,,,,,,False,False,False,False,False,False,False,
ABS,True,exact_canonical,abs,abs,pldb,,True,False,False,False,False,False,False,
ABSET,True,exact_canonical,abset,abset,pldb,,True,False,False,False,False,False,False,
ABSYS,True,exact_canonical,absys,absys,pldb,,True,False,False,False,False,False,False,
Acceleo,False,,,,,,False,False,False,False,False,False,False,
ACE BASIC,False,,,,,,False,False,False,False,False,False,False,
Aceto,True,exact_canonical,aceto,Aceto,esolang,,False,False,False,True,False,False,False,
ACL2,True,exact_canonical,acl2,acl2,pldb,,True,False,False,False,False,False,True,
Acorn Atom BASIC,False,,,,,,False,False,False,False,False,False,False,
Acornsoft Lisp,False,,,,,,False,False,False,False,False,False,False,
ACS,False,,,,,,False,False,False,False,False,False,False,
ACSL,True,exact_canonical,acsl,acsl,pldb,,True,False,False,False,False,False,False,
ACT-1,False,,,,,,False,False,False,False,False,False,False,
ACT-III,True,exact_canonical,act-iii,act-iii,pldb,,True,False,False,False,False,False,False,
ACT-R,False,,,,,,False,False,False,False,False,False,False,
Actalk,True,exact_canonical,actalk,actalk,pldb,,True,False,False,False,False,False,False,
Action!,True,exact_tool,action,action,pldb,,True,False,False,False,False,False,True,
ActionScript,True,exact_canonical,actionscript,actionscript,linguist;pldb,.as,True,True,False,False,True,True,True,
Active Oberon,False,,,,,,False,False,False,False,False,False,False,
Acton,False,,,,,,False,False,False,False,False,False,False,
Actor,True,exact_canonical,actor,actor,pldb,,True,False,False,False,False,False,False,
Actually,False,,,,,,False,False,False,False,False,False,False,
Acumen,False,,,,,,False,False,False,False,False,False,False,
Acute,False,,,,,,False,False,False,False,False,False,False,
Ada,True,exact_canonical,ada,ada,linguist;pldb,.ada .adb .ads,True,True,False,False,True,True,True,
Adamant,True,exact_canonical,adamant,adamant,pldb,,True,False,False,False,False,False,False,
Addleq,True,exact_canonical,addleq,Addleq,esolang,,False,False,False,True,False,False,False,
Adenine,False,,,,,,False,False,False,False,False,False,False,
Adept,True,exact_canonical,adept,adept,pldb,,True,False,False,False,False,False,False,
ADMB,False,,,,,,False,False,False,False,False,False,False,
ADRIFT,False,,,,,,False,False,False,False,False,False,False,
Adventuron,False,,,,,,False,False,False,False,False,False,False,
ADVPL,True,exact_alias,xbase,xbase,linguist;pldb,.ch .prg .prw,True,True,False,False,True,True,True,
AED,True,exact_canonical,aed,aed,pldb,,True,False,False,False,False,False,False,
AFL,False,,,,,,False,False,False,False,False,False,False,
AFNIX,True,exact_canonical,afnix,afnix,pldb,,True,False,False,False,False,False,False,
Agal,False,,,,,,False,False,False,False,False,False,False,
Agda,True,exact_canonical,agda,agda,linguist;pldb,.agda,True,True,False,False,True,True,True,
Agda2,False,,,,,,False,False,False,False,False,False,False,
Agena,False,,,,,,False,False,False,False,False,False,False,
AgentSpeak,True,exact_canonical,agentspeak,agentspeak,pldb,,True,False,False,False,False,False,False,
AGFL,False,,,,,,False,False,False,False,False,False,False,
Agora,True,exact_canonical,agora,agora,pldb,,True,False,False,False,False,False,False,
AGS Script,True,exact_tool,ags-script,ags-script,linguist;pldb,.asc .ash,True,True,False,False,True,True,False,
AHDL,False,,,,,,False,False,False,False,False,False,False,
Aheui,True,exact_canonical,aheui,aheui,esolang;pldb,,True,False,False,True,False,True,False,
Aiken,True,exact_canonical,aiken,Aiken,linguist,.ak,False,True,False,False,False,False,False,
Aikido,False,,,,,,False,False,False,False,False,False,False,
AIMACO,False,,,,,,False,False,False,False,False,False,False,
Aime,True,exact_canonical,aime,aime,pldb,,True,False,False,False,False,False,True,
AIML,True,exact_canonical,aiml,aiml,pldb,,True,False,False,False,False,False,False,
AIMMS,True,exact_canonical,aimms,aimms,pldb,,True,False,False,False,False,False,False,
Ajsone,True,exact_canonical,ajsone,Ajsone,esolang,,False,False,False,True,False,False,False,
AKL,True,exact_canonical,akl,akl,pldb,,True,False,False,False,False,False,False,
AL,True,exact_canonical,al,al,linguist;pldb,.al,True,True,False,False,False,False,False,
Alan,True,exact_canonical,alan,alan,pldb,,True,False,False,False,False,False,False,
Albatross,True,exact_canonical,albatross,albatross,pldb,,True,False,False,False,False,False,False,
ALC,False,,,,,,False,False,False,False,False,False,False,
Alda,False,,,,,,False,False,False,False,False,False,False,
Aldor,True,exact_canonical,aldor,aldor,pldb,,True,False,False,False,False,False,False,
Alef,True,exact_canonical,alef,alef,pldb,,True,False,False,False,False,False,False,
Aleo,False,,,,,,False,False,False,False,False,False,False,
Aleph,True,exact_canonical,aleph,aleph,pldb,,True,False,False,False,False,False,False,
ALF,True,exact_canonical,alf,alf,pldb,,True,False,False,False,False,False,False,
ALFL,False,,,,,,False,False,False,False,False,False,False,
Algae,True,exact_canonical,algae,algae,pldb,,True,False,False,False,False,False,True,
